"Title","Work Item Type","Priority","Severity","State","Description","Acceptance Criteria","Tags"
"P0-011: BackgroundTasks orphans `in_progress` plans","Bug","1","1 - Critical","New","Finding: P0-011: BackgroundTasks orphans `in_progress` plans

Priority: P0

Resiliency Related: Yes

Issue: The plan-execution route hands orchestration to FastAPI `BackgroundTasks`, which runs in the same process as the request handler. Single-region pod restarts already orphan in-flight plans; with active/active across `{primaryRegion}` and `{secondaryRegion}`, scale-in events, revision rollouts, and GLB drains routinely kill the loop, leaving plans stuck at `status='in_progress'` with no driver in either region.

File: src/backend/v4/api/router.py:368-371

```python
# before
@router.post(""/api/v4/plans"")
async def create_plan(req: CreatePlanRequest, background_tasks: BackgroundTasks):
 plan = await plans.create(req)
 background_tasks.add_task(run_plan, plan.plan_id) # dies with the worker
 return plan
```

Recommended Fix: Replace `BackgroundTasks.add_task(...)` with an enqueue to a Service Bus queue (sessions enabled, partitioned by `plan_id`). Run an `OrchestrationWorker` per replica that consumes with peek-lock and completes only on terminal status. Add a startup recovery scan that re-enqueues orphaned `in_progress` plans whose lease is expired.","Replace `BackgroundTasks.add_task(...)` with an enqueue to a Service Bus queue (sessions enabled, partitioned by `plan_id`). Run an `OrchestrationWorker` per replica that consumes with peek-lock and completes only on terminal status. Add a startup recovery scan that re-enqueues orphaned `in_progress` plans whose lease is expired.","resiliency;P0-011"
"P0-012: Approval / clarification routes lack idempotency keys","Bug","1","1 - Critical","New","Finding: P0-012: Approval / clarification routes lack idempotency keys

Priority: P0

Resiliency Related: Yes

Issue: Approval and clarification endpoints mutate plan state without an `Idempotency-Key` header or `_etag` precondition. Single-region 5xx retries can already produce double-applied approvals; in active/active across `{primaryRegion}` and `{secondaryRegion}`, GLB probe-driven re-routing and cross-region client retries multiply the duplicate-write surface, so the same approval can be applied twice or race against a rejection from a peer replica.

File: src/backend/v4/api/router.py:450-528

```python
# before — no idempotency key, no etag CAS
@router.post(""/api/v4/plans/{plan_id}/approve"")
async def approve(plan_id: str, body: ApproveRequest):
 rec = await approvals.read_item(item=plan_id, partition_key=plan_id)
 rec[""status""] = ""approved""
 await approvals.replace_item(item=plan_id, body=rec) # last-write-wins
 return {""status"": ""approved""}
```

Recommended Fix: Require an `Idempotency-Key` header on every mutating route; atomically write `{idem_key, decision_response}` to the `approvals` Cosmos record on first call; on replay, return the cached response without mutation. Apply changes via `MatchConditions.IfNotModified` against the document `_etag`.","Require an `Idempotency-Key` header on every mutating route; atomically write `{idem_key, decision_response}` to the `approvals` Cosmos record on first call; on replay, return the cached response without mutation. Apply changes via `MatchConditions.IfNotModified` against the document `_etag`.","resiliency;P0-012"
"P0-013: Cosmos serverless cannot be promoted in place","Bug","1","1 - Critical","New","Finding: P0-013: Cosmos serverless cannot be promoted in place

Priority: P0

Resiliency Related: Yes

Issue: The Cosmos account is created with `capabilities: [{ name: 'EnableServerless' }]`. Serverless accounts cannot be converted to provisioned, cannot enable multi-region writes, and cannot add additional regions — every path to active/active requires a one-way migration to a *new* provisioned account. Until this migration happens, P0-003 / P0-014 / P0-015 cannot be remediated and `{secondaryRegion}` Container Apps replicas have no Cosmos peer.

File: infra/main.bicep:1043-1130

```bicep
// before — serverless capability blocks geo-replication; no autoscale; no zone redundancy
module cosmos 'br/public:avm/res/document-db/database-account:0.x.y' = {
 name: 'cosmos-${solutionPrefix}'
 params: {
 name: 'cosmos-${solutionPrefix}'
 locations: [ { locationName: location, failoverPriority: 0 } ]
 capabilities: [ { name: 'EnableServerless' } ]
 }
}
```

Recommended Fix: Provision a new `Microsoft.DocumentDB/databaseAccounts` (`cosmos-${solutionPrefix}-mr`) without serverless, with multi-region writes, automatic failover, and `isZoneRedundant=true` per location; configure throughput at the *container* level (`autoscaleMaxThroughput`); use the change feed (or Data Factory) to copy data; cut readers over first, then writers; decommission the serverless account only after a 7-day soak; ensure `disableLocalAuth=true` so no key-based auth surface is reintroduced.","Provision a new `Microsoft.DocumentDB/databaseAccounts` (`cosmos-${solutionPrefix}-mr`) without serverless, with multi-region writes, automatic failover, and `isZoneRedundant=true` per location; configure throughput at the *container* level (`autoscaleMaxThroughput`); use the change feed (or Data Factory) to copy data; cut readers over first, then writers; decommission the serverless account only after a 7-day soak; ensure `disableLocalAuth=true` so no key-based auth surface is reintroduced.","resiliency;P0-013"
"P0-014: Cosmos unavailable / regional outage unhandled (F1)","Bug","1","1 - Critical","New","Finding: P0-014: Cosmos unavailable / regional outage unhandled (F1)

Priority: P0

Resiliency Related: Yes

Issue: `CosmosDBClient.__init__` constructs a `CosmosClient` with no `preferred_locations`, no retry policy, and no circuit-breaker. When `{primaryRegion}` Cosmos goes down, every request raises `ServiceRequestError` / `ServiceResponseError` and bubbles to callers as 500. Even with the multi-region account from P0-003 in place, the client never *uses* `{secondaryRegion}` because it is not in the preferred list — active/active does not engage.

File: src/backend/common/database/cosmosdb.py:71-73

```python
# before — no preferred_locations, no retry, generic exceptions, no health flag
class CosmosDBClient:
 def __init__(self, endpoint: str) -> None:
 self._client = CosmosClient(url=endpoint, credential=DefaultAzureCredential())

 async def read_item(self, container: str, item: str, pk: str):
 return await self._container(container).read_item(item=item, partition_key=pk)
```

Recommended Fix: Pass `preferred_locations=[app_region, peer_region]`; configure `retry_total=3` and `retry_backoff_factor=0.25`; wrap each operation in `_with_retry` that distinguishes 503 (retry) from 429 (cross-ref P0-015) from 4xx (no retry); register a Cosmos probe in `HealthCheckMiddleware` issuing a 1-RU read against a known partition; never introduce an `account_key` overload as a ""fallback"".","Pass `preferred_locations=[app_region, peer_region]`; configure `retry_total=3` and `retry_backoff_factor=0.25`; wrap each operation in `_with_retry` that distinguishes 503 (retry) from 429 (cross-ref P0-015) from 4xx (no retry); register a Cosmos probe in `HealthCheckMiddleware` issuing a 1-RU read against a known partition; never introduce an `account_key` overload as a ""fallback"".","resiliency;P0-014"
"P0-015: Cosmos 429 RU throttling unhandled (F2)","Bug","1","1 - Critical","New","Finding: P0-015: Cosmos 429 RU throttling unhandled (F2)

Priority: P0

Resiliency Related: Yes

Issue: The Cosmos wrapper catches a generic `Exception` and logs it; HTTP 429 (`x-ms-retry-after-ms`) is not differentiated from 503 or transport errors. During a GLB cutover, the surviving region absorbs both regions' workload; RU consumption spikes, Cosmos sheds load with 429, and every shed request becomes a user-visible 500. Without honoring `x-ms-retry-after-ms`, the wrapper retries immediately (cascading the throttle) or not at all.

File: src/backend/common/database/cosmosdb.py:110-176

```python
# before — generic exception swallow; 429 retried immediately or not at all
async def read_item(self, container: str, item: str, pk: str):
 try:
 return await self._container(container).read_item(item=item, partition_key=pk)
 except Exception as ex:
 log.error(""cosmos read_item failed: %s"", ex)
 raise
```

Recommended Fix: Replace `except Exception` with `except CosmosHttpResponseError` and branch on `ex.status_code`; on 429, parse `ex.headers[""x-ms-retry-after-ms""]` (fallback 100ms), sleep, and retry up to 5 attempts within a 10s budget; emit `cosmos.throttled` and `cosmos.ru_charge` metrics; do not flip readiness on throttling — backpressure is not an outage.","Replace `except Exception` with `except CosmosHttpResponseError` and branch on `ex.status_code`; on 429, parse `ex.headers[""x-ms-retry-after-ms""]` (fallback 100ms), sleep, and retry up to 5 attempts within a 10s budget; emit `cosmos.throttled` and `cosmos.ru_charge` metrics; do not flip readiness on throttling — backpressure is not an outage.","resiliency;P0-015"
"P0-016: OpenAI 5xx / regional outage unhandled (F5)","Bug","1","1 - Critical","New","Finding: P0-016: OpenAI 5xx / regional outage unhandled (F5)

Priority: P0

Resiliency Related: Yes

Issue: `HumanApprovalMagenticManager` calls Azure OpenAI through the Foundry Project with no 5xx-aware retry and no fallback endpoint. During an OpenAI regional outage in `{primaryRegion}` (503s, capacity exhaustion, model rollover), every plan-generation call fails. Even with the peer Foundry account from P0-001 deployed, this code path never tries it, so active/active delivers no AI continuity at runtime.

File: src/backend/v4/orchestration/human_approval_manager.py:114-141

```python
# before — single endpoint, no retry, no fallback
class HumanApprovalMagenticManager:
 def __init__(self, app_config: AppConfig) -> None:
 self._client = AsyncAzureOpenAI(
 azure_endpoint=app_config.openai_endpoint,
 api_key=app_config.openai_api_key,
 api_version=""2025-04-01-preview"",
 )

 async def generate_plan(self, prompt: str) -> MPlan:
 resp = await self._client.chat.completions.create(
 model=""gpt-4.1-mini"",
 messages=[{""role"": ""user"", ""content"": prompt}],
 )
 return MPlan.from_response(resp)
```

Recommended Fix: Wrap OpenAI calls in `tenacity` with `stop_after_attempt(3)` and `wait_exponential_jitter(initial=0.5, max=4)`, retrying only on 5xx and connection errors; on exhaustion, call `app_config.mark_foundry_unhealthy(local_region)`, build a client against the peer endpoint, and retry once; emit `openai.failover from=… to=… reason=…` per cutover; never introduce an `AZURE_OPENAI_API_KEY` env var as a ""fallback"" — token auth via `DefaultAzureCredential` only.","Wrap OpenAI calls in `tenacity` with `stop_after_attempt(3)` and `wait_exponential_jitter(initial=0.5, max=4)`, retrying only on 5xx and connection errors; on exhaustion, call `app_config.mark_foundry_unhealthy(local_region)`, build a client against the peer endpoint, and retry once; emit `openai.failover from=… to=… reason=…` per cutover; never introduce an `AZURE_OPENAI_API_KEY` env var as a ""fallback"" — token auth via `DefaultAzureCredential` only.","resiliency;P0-016"
"P0-017: Foundry / AI Project unavailable unhandled (F6)","Bug","1","1 - Critical","New","Finding: P0-017: Foundry / AI Project unavailable unhandled (F6)

Priority: P0

Resiliency Related: Yes

Issue: `app_config` resolves the Foundry / AI Project endpoint once at process startup and caches it for the life of the replica. There is no health probe and no re-resolution on transient failure. If Foundry in `{primaryRegion}` becomes unavailable after startup, every agent invocation continues to dial the dead endpoint until the replica is restarted, the peer endpoint (P0-001) is never consulted, and `/healthz/ready` keeps returning 200 because nothing observes Foundry's state. Active/active never engages.

File: src/backend/common/config/app_config.py:244-269

```python
# before — endpoint resolved once at startup; no probe, no re-resolution
class AppConfig:
 def __init__(self) -> None:
 self.credential = DefaultAzureCredential()
 self._project = AIProjectClient(
 endpoint=os.environ[""AZURE_AI_PROJECT_ENDPOINT""],
 credential=self.credential,
 )

 def get_ai_project_client(self) -> AIProjectClient:
 return self._project # cached for life of process
```

Recommended Fix: Replace the cached `Project` instance with an `AzureAIClient` factory that calls `app_config.resolve_foundry_endpoint()` per call; add a `_FoundryProbe` background task (15s interval) that hits `GET /openai/models` against the local endpoint and calls `mark_foundry_unhealthy(local_region)` on 5xx/timeout; mark the region healthy again after 4 consecutive successes (60s); start the task in the FastAPI lifespan hook; surface `foundry.local` / `foundry.peer` flags in the readiness payload.","Replace the cached `Project` instance with an `AzureAIClient` factory that calls `app_config.resolve_foundry_endpoint()` per call; add a `_FoundryProbe` background task (15s interval) that hits `GET /openai/models` against the local endpoint and calls `mark_foundry_unhealthy(local_region)` on 5xx/timeout; mark the region healthy again after 4 consecutive successes (60s); start the task in the FastAPI lifespan hook; surface `foundry.local` / `foundry.peer` flags in the readiness payload.","resiliency;P0-017"
"P0-018: WebSocket disconnect / replica failover (F12)","Bug","1","1 - Critical","New","Finding: P0-018: WebSocket disconnect / replica failover (F12)

Priority: P0

Resiliency Related: Yes

Issue: WebSocket disconnects from replica scaling, GLB cutover, or transient network blips drop the user's session with no reconnect protocol and no message replay. In single-region this manifests as occasional UI staleness; in active/active across `{primaryRegion}` and `{secondaryRegion}` the cutover deterministically severs every WebSocket, and the reconnecting client lands on a different replica with no offset tracking — so the new replica either replays everything (duplicates) or nothing (gaps).

File: src/backend/v4/api/connection_config.py:1-60

```python
# before — emits to local socket only, no seq, no replay
async def emit(self, user_id: str, event: dict) -> None:
 ws = self._sockets.get(user_id)
 if ws is not None:
 await ws.send_json(event)
```

Recommended Fix: Tag every outbound event with a monotonic per-user `seq`; persist `last_acked_seq` per `user_id` in a Cosmos `connections` container; on reconnect, accept `?since=<seq>` and replay from the backplane subscription starting at `since+1`. Pair with P0-010 backplane.","Tag every outbound event with a monotonic per-user `seq`; persist `last_acked_seq` per `user_id` in a Cosmos `connections` container; on reconnect, accept `?since=<seq>` and replay from the backplane subscription starting at `since+1`. Pair with P0-010 backplane.","resiliency;P0-018"
"P0-019: Pod restart mid-orchestration (F13)","Bug","1","1 - Critical","New","Finding: P0-019: Pod restart mid-orchestration (F13)

Priority: P0

Resiliency Related: Yes

Issue: Replicas restart for routine deploys, revision rollouts, scale-in, zone loss, and GLB drains. Because plan execution lives in `BackgroundTasks` (P0-011) and checkpoints live in process memory (P0-008), a restart kills the loop and leaves the plan at `in_progress` with no driver. Active/active across `{primaryRegion}` and `{secondaryRegion}` makes replica churn the common case rather than the edge case.

File: src/backend/app.py:108

```python
# before — no recovery scan; restarts strand plans permanently
app = FastAPI()
app.add_middleware(HealthCheckMiddleware, checks={}, password="""")
```

Recommended Fix: In the FastAPI lifespan hook, call `checkpoint_storage.list_in_progress()`, evaluate each plan's lease (via `heartbeat_ts`), and re-enqueue stale ones onto the durable runner from P0-011. Set `app.state.recovery_complete=True` only after the scan finishes; gate `/healthz/ready` on the flag.","In the FastAPI lifespan hook, call `checkpoint_storage.list_in_progress()`, evaluate each plan's lease (via `heartbeat_ts`), and re-enqueue stale ones onto the durable runner from P0-011. Set `app.state.recovery_complete=True` only after the scan finishes; gate `/healthz/ready` on the flag.","resiliency;P0-019"
"P0-020: Approval / clarification 404 after restart (F14)","Bug","1","1 - Critical","New","Finding: P0-020: Approval / clarification 404 after restart (F14)

Priority: P0

Resiliency Related: Yes

Issue: After a replica restart, the in-memory pending approval entry held by `HumanApprovalMagenticManager` is gone, so approval routes return 404 even though the plan exists in Cosmos. Single-region deploys already exhibit this on rollout; in active/active across `{primaryRegion}` and `{secondaryRegion}`, the GLB routinely routes the approval to a replica or region that never held the dict entry, so legitimate approvals fail with 404.

File: src/backend/v4/api/router.py:450-528

```python
# before — relies on in-memory dict that vanishes on restart
@router.get(""/api/v4/plans/{plan_id}/approval"")
async def get_approval(plan_id: str):
 if plan_id not in approval_manager.pending:
 raise HTTPException(404) # 404 even if the plan is in Cosmos
 return approval_manager.pending[plan_id]
```

Recommended Fix: Persist the awaiting state in the Cosmos `approvals` container (P0-009) and reconstruct on lookup. Combine with idempotency from P0-012 — duplicate `Idempotency-Key` returns the prior decision response; conflicting CAS returns 409, never 404.","Persist the awaiting state in the Cosmos `approvals` container (P0-009) and reconstruct on lookup. Combine with idempotency from P0-012 — duplicate `Idempotency-Key` returns the prior decision response; conflicting CAS returns 409, never 404.","resiliency;P0-020"
